No.,Products Name,Vendor Name,Price,Qty.,Total,Discount,Net Total,Purchase Date
1,IPhone 15 Pro Max,Panha,1499.00,10,7495.00,50.00,3747.50,2024-07-01-15-46-51
2,IPhone 15 Pro,Panha,1499.00,20,7495.00,50.00,3747.50,2024-07-01-15-46-51
3,IPhone 12 Pro Max,Panha,1499.00,40,7495.00,50.00,3747.50,2024-07-02-15-46-51
4,IPhone 14 Pro Max,Panha,1499.00,70,7495.00,50.00,3747.50,2024-07-02-16-46-51
5,IPhone 13 Pro Max,Panha,1499.00,30,7495.00,50.00,3747.50,2024-07-03-15-46-51
6,IPhone 15,Panha,1499.00,15,7495.00,50.00,3747.50,2024-07-20-04-46-51
7,IPhone 15 Pro Max,Panha,1499.00,69,7495.00,50.00,3747.50,2024-07-20-15-46-51
8,IPhone 15 Pro Max,Panha,1499.00,79,7495.00,90.00,3747.50,2024-07-21-15-46-51
9,IPhone 15 Pro Max,Panha,1499.00,40,7495.00,80.00,3747.50,2024-07-22-15-46-51
10,IPhone 15 Pro Max,Panha,1499.00,9,7495.00,10.00,3747.50,2024-07-23-15-46-51
11,IPhone 15 Pro Max,Panha,1499.00,70,7495.00,20.00,3747.50,2024-07-24-15-46-51
12,IPhone 15 Pro Max,Panha,1499.00,50,7495.00,40.00,3747.50,2024-07-25-15-46-51
13,IPhone 15 Pro Max,Panha,1499.00,10,7495.00,50.00,3747.50,2024-07-26-15-46-51
14,IPhone 15 Pro Max,Panha,1499.00,39,7495.00,30.00,3747.50,2024-07-27-15-46-51
15,IPhone 15 Pro Max,Panha,1499.00,29,7495.00,60.00,3747.50,2024-07-28-15-46-51
1,IPhone 15 Pro Max,Admin,1499.00,5,7495.00,0.00,7495.00,2024-08-09-23-9-30
1,IPhone 15 Pro,Admin,1399.00,10,13990.00,0.00,13990.00,2024-08-09-23-21-8
1,IPhone 15 Pro,Admin,1399.00,10,13990.00,0.00,13990.00,2024-08-14-23-21-8
1,IPhone 15,Admin,1299.00,1,1299.00,0.00,1299.00,2024-08-15-23-54-41
1,IPhone 12,Panha,499.00,1,499.00,0.00,499.00,2024-08-15-0-14-37
1,IPhone 12 Pro Max,Admin,100.00,1,100.00,0.00,100.00,2024-08-16-0-23-37
1,IPhone 13 Pro,Admin,899.00,3,2697.00,0.00,2697.00,2024-08-17-0-27-23
1,IPhone 13 Pro,Admin,899.00,2,1798.00,0.00,1798.00,2024-08-17-8-47-53
1,IPhone 15 Pro Max,Admin,1499.00,2,2998.00,0.00,2998.00,2024-08-17-8-54-44
1,IPhone 15 Pro,Admin,1399.00,2,2798.00,0.00,2798.00,2024-08-17-8-58-7
